MinTemp,MaxTemp,Rainfall,Evaporation,Sunshine,WindGustDir,WindGustSpeed,WindDir9am,WindDir3pm,Cloud9am,Cloud3pm,RainToday,RISK_MM,RainTomorrow,AverageTemp,AveragePressure,AverageHumidity,AverageWindSpeed
18.8,37.2,0,11.6,13.1,E,56,E,ENE,0,0,No,0,No,28.6,1009.45,35,22.5
21.9,36.1,0,12.8,13.2,E,59,NE,W,0,1,No,0,No,30.7,1008.3,35,15.5
20.3,34.4,0,11.8,12.7,SSW,44,S,W,4,1,No,0,No,28.25,1011.75,45.5,20.5
18.5,36.5,0,11.2,13.3,SE,39,E,E,0,0,No,0,No,28.7,1015.1,34,12
21.8,37.2,0,11.4,13.2,E,57,E,W,0,0,No,0,No,30.85,1012.75,29.5,20.5
19.7,36.4,0,12,13.2,WSW,43,ESE,W,0,0,No,0,No,29.25,1012.1,44.5,20.5
18.9,36.3,0,12,13.2,E,52,SE,SSE,1,1,No,0,No,28.7,1012.9,36.5,16
20.3,37.2,0,10.8,13.2,ESE,41,ESE,SSE,0,0,No,0,No,30.25,1013.05,36,14
19.1,37.1,0,12.6,13.3,SW,46,SSE,W,0,1,No,0,No,29.5,1013.55,41,19.5
20.5,35.7,0,11.2,13.1,SW,48,ESE,SW,1,0,No,0,No,29.65,1011.8,34.5,23
21.2,39.1,0,12,13.1,SW,41,ENE,WSW,0,0,No,0,No,31.8,1007.5,28,20
13.5,28.4,0,11.4,11.3,SW,57,SW,WSW,1,6,No,0,No,25.2,1008.35,53,29.5
10.3,26.9,0,9.4,11.2,SW,48,NNE,W,6,1,No,0,No,21.55,1016.35,48.5,15
14.6,31.7,0,9.6,10.2,W,37,ESE,WSW,4,6,No,0,No,25.7,1016.05,42,19.5
19,39.8,0,10.6,13.1,E,72,ENE,ESE,0,0,No,0,No,29.95,1014.2,30.5,27.5
22.5,43,0,13.8,13.1,NE,50,NE,WNW,0,1,No,0,No,35.65,1010.6,15,25.5
17.9,32.6,0,13.2,7.2,W,41,SW,SW,2,7,No,0,No,26.85,1014.7,44,13
21.9,33.5,0,8.6,4.8,SSE,46,SSE,SSE,7,7,No,12.6,Yes,27.45,1013.6,39,13
15.7,30,12.6,8,13.2,E,72,SSE,SSE,1,1,Yes,0,No,23.75,1015.35,53.5,18.5
15.5,30.1,0,8,13,SW,48,E,SW,0,1,No,0,No,23.7,1016.8,43,26
15.4,27.3,0,10,13,SSW,43,SSW,SW,1,4,No,0,No,23.35,1014.8,52.5,23.5
18.7,28.7,0,8.6,11.1,WSW,43,S,WSW,7,1,No,0,No,24.85,1012.6,57.5,19.5
20,28.9,0,9,10.7,SW,39,S,SW,7,1,No,0,No,24.8,1012.8,60.5,22
13.1,31,0,7.6,13,SW,39,W,W,0,0,No,0,No,25.1,1012.6,54,16.5
17,38.6,0,9.6,13.2,WSW,39,ESE,W,0,0,No,0,No,31.65,1010.2,23,14
17.5,30.8,0,10,13,W,37,NW,W,1,1,No,0,No,25.35,1008.05,64,15
17.1,34.5,0,8.8,12.6,SSW,48,SE,SSW,2,6,No,0,No,28.55,1006.2,47.5,14.5
21.7,31.2,0,10.4,6.5,WSW,43,SE,SW,7,4,No,0,No,26.65,1002.55,61,15
19.7,25.6,0,7.2,0.3,SSW,33,S,SSW,7,8,No,0,No,22.7,1008,65,20.5
18.9,32.1,0,4,6.4,WSW,30,SE,S,8,7,No,0,No,25.35,1008.85,60,11
